Community,median_household,median_family,%earned,%self_empl,%investment,%soc_sec,%public_asst,%other,"percent_0-4,999","percent_5,000-9,999","percent_10,000-14,999","percent_15,000-19,999","percent_20,000-24,999","percent_25,000-34,999","percent_35,000-49,999","percent_50,000+",%fam_below_pov,%people_below_pov,%elderly_below_pov
Aleppo,"32,944.00","33,552.00",92,11,56,14,1,19,5,8,8,8,12,22,20,17,4,4,14
Allegheny Center,"14,836.00","17,500.00",75,6,43,29,1,25,13,22,16,17,17,11,1,3,7,15,6
Allegheny County,"17,944.00","21,643.00",77.4,7.5,51.3,30,8.9,28.4,12.4,15,14,14.1,13.3,16.9,9.6,4.7,6.7,8.9,10.1
Allegheny West,"6,222.00","8,676.00",54,6,23,38,24,27,41,30,10,10,1,3,2,2,20,30,24
Allentown,"10,605.00","14,760.00",66,4,32,40,16,37,24,24,14,15,11,6,6,0,16,21,16
Arlington,"14,462.00","15,974.00",73,4,43,40,11,33,13,18,21,16,13,14,5,0,10,11,8
Arlington Heights,"4,070.00","4,221.00",37,1,4,16,83,22,66,18,11,3,2,0,0,1,70,69,65
Aspinwall,"16,987.00","20,933.00",75,8,62,38,4,27,8,16,16,17,18,11,8,6,3,4,6
Avalon,"15,895.00","20,401.00",73,8,56,39,6,28,9,20,18,15,15,14,6,3,4,5,2
Baldwin Borough,"20,897.00","22,584.00",84,7,59,27,5,29,6,12,13,15,17,23,11,3,3,4,6
Baldwin Township,"20,586.00","22,695.00",82,10,62,29,5,29,5,12,10,22,11,22,15,4,4,4,6
Banksville,"20,029.00","24,026.00",87,6,55,20,3,26,7,12,15,16,16,20,10,3,1,3,9
Bedford Dwellings,"5,669.00","6,971.00",48,2,5,33,45,30,45,27,12,5,3,4,3,0,41,46,19
Beechview,"16,609.00","19,619.00",81,7,48,30,6,33,9,14,21,15,13,18,8,1,5,7,10
Bell Acres,"24,479.00","25,938.00",85,8,66,28,5,23,6,8,11,12,14,17,12,20,3,3,10
Bellevue,"14,319.00","18,018.00",76,6,54,34,6,33,11,22,20,17,11,12,6,2,6,7,8
Beltzhoover,"11,541.00","14,905.00",71,4,26,32,21,33,23,24,11,12,12,12,5,1,21,36,13
Ben Avon,"23,375.00","26,014.00",83,14,69,30,4,35,9,13,10,7,18,23,13,7,5,5,2
Ben Avon Heights,"28,438.00","29,688.00",85,31,86,21,0,19,4,2,7,8,15,25,12,27,2,1,0
Bethel Park,"25,863.00","28,497.00",88,10,64,21,3,26,4,8,9,12,15,26,20,7,2,2,4
Blawnox,"15,991.00","18,099.00",81,9,53,29,5,30,11,13,22,20,19,12,3,1,6,8,10
Bloomfield,"12,789.00","17,585.00",74,8,44,34,11,24,19,19,19,15,11,11,4,3,9,13,10
Bluff,"7,917.00","11,901.00",62,3,32,40,18,28,36,21,13,15,5,8,1,1,28,40,20
Bon Air,"17,446.00","20,191.00",77,7,61,39,8,31,9,15,20,19,12,10,13,4,3,6,11
Brackenridge,"14,783.00","20,014.00",65,4,44,40,13,33,18,20,12,12,17,11,7,2,10,13,16
Braddock,"8,594.00","11,130.00",57,4,26,41,28,35,31,24,15,13,8,6,2,1,27,30,19
Braddock Hills,"12,855.00","17,772.00",68,3,47,40,9,31,16,21,20,12,10,10,8,1,7,10,11
Bradford Woods,"34,725.00","36,211.00",91,18,70,15,1,20,4,8,4,8,7,20,21,28,3,4,3
Brentwood,"18,099.00","21,250.00",75,5,57,37,4,30,9,17,14,16,18,16,9,2,4,5,4
Bridgeville,"17,212.00","22,579.00",74,7,59,40,5,33,11,15,17,15,11,21,8,2,3,5,9
Brighton Heights,"15,354.00","19,430.00",72,5,56,42,7,32,13,19,16,13,12,16,8,2,6,6,10
Brookline,"17,446.00","20,191.00",78,6,56,33,8,34,10,15,15,17,17,16,8,2,5,6,8
California-Kirkbride,"6,514.00","7,179.00",48,4,13,37,38,32,43,15,23,8,4,3,2,1,46,44,35
Carnegie,"15,213.00","19,298.00",75,7,53,39,8,29,11,20,18,16,11,14,6,3,5,8,9
Carrick,"16,085.00","19,995.00",74,6,53,36,8,33,13,18,15,15,13,16,8,2,7,9,11
